URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://ocw.mit.edu/courses/find-by-department/,Find Courses by Department | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/sloan-school-of-management/15-677j-urban-labor-markets-and-employment-policy-spring-2005/,Urban Labor Markets and Employment Policy | Sloan School of Management | MIT OpenCourseWare,This subject discusses the broader trends in the labor market; how urban labor markets function; public and private training policy; other labor market programs; the link between labor market policy and economic development; and the organization of work within firms.,urban labor;labor markets;employment policy;demand for labor;unions;work structures;youth labor market;adult training;living wage campaigns;Labor Economics;Industrial Relations and Human Resource Management;Industrial Organization,education;learning;free;,Urban Labor Markets and Employment Policy ,MIT Open CourseWare,N/A,any time,No,Osterman; Paul ,This subject discusses the broader trends in the labor market; how urban labor markets function; public and private training policy; other labor market programs; the link between labor market policy and economic development; and the organization of work within firms.,Graduate,?
http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-570-seminar-in-geophysics-thermal-and-chemical-evolution-of-the-earth-spring-2005/,Seminar in Geophysics: Thermal and Chemical Evolution of the Earth | Earth; Atmospheric; and Planetary Sciences | MIT OpenCourseWare,The main objective of this cross-disciplinary course is to understand the historical development and the current status of ideas and models; to present and question the constraints from the different research fields; and to investigate if and how the different views on mantle flow can be reconciled with the currently available data.,structure; composition; and evolution of Earth s deep interior;Seismic imaging;geodynamical modeling;nobel gas analyses;mantle convection;geophysics;earth science;Geophysics;Geochemistry;Geology;Thermodynamics,education;learning;free;,Seminar in Geophysics: Thermal and Chemical Evolution of the Earth ,MIT Open CourseWare,N/A,any time,No,Van Der Hilst; Robert ,The main objective of this cross-disciplinary course is to understand the historical development and the current status of ideas and models; to present and question the constraints from the different research fields; and to investigate if and how the different views on mantle flow can be reconciled with the currently available data.,Graduate,?
http://ocw.mit.edu/courses/biology/7-343-the-radical-consequences-of-respiration-reactive-oxygen-species-in-aging-and-disease-fall-2007/,The Radical Consequences of Respiration: Reactive Oxygen Species in Aging and Disease | Biology | MIT OpenCourseWare,This course&nbsp;will start with a survey of basic oxygen radical biochemistry followed by a discussion of the mechanisms of action of cellular as well as dietary antioxidants. After considering the normal physiological roles of oxidants; we will examine the effects of elevated ROS and a failure of cellular redox capacity on the rate of organismal and cellular aging as well as on the onset and progression of several major diseases that are often age-related. Topics will include ROS-induced effects on stem cell regeneration; insulin resistance; heart disease; neurodegenerative disorders; and cancer. The role of antioxidants in potential therapeutic strategies for modulating ROS levels will also be discussed. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,reactive oxygen species;oxygen;ROS;energy;mitochondria;cell signaling;anti-pathogen;oxidative damage;oncogene;antioxidant;insulin resistance;diabetes;stem cell;neurodegenerative;ischemic;ATP;pathways;NADPH;nox;psd;programmed cell death;apoptosis;hsc;hematopoietic;Cellular and Molecular Medicine;Biochemistry;Molecular Biology;Pathology and Pathophysiology,education;learning;free;,The Radical Consequences of Respiration: Reactive Oxygen Species in Aging and Disease ,MIT Open CourseWare,N/A,any time,No,Rai; Priyamvada ,This course&nbsp;will start with a survey of basic oxygen radical biochemistry followed by a discussion of the mechanisms of action of cellular as well as dietary antioxidants. After considering the normal physiological roles of oxidants; we will examine the effects of elevated ROS and a failure of cellular redox capacity on the rate of organismal and cellular aging as well as on the onset and progression of several major diseases that are often age-related. Topics will include ROS-induced effects on stem cell regeneration; insulin resistance; heart disease; neurodegenerative disorders; and cancer. The role of antioxidants in potential therapeutic strategies for modulating ROS levels will also be discussed. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/mathematics/18-435j-quantum-computation-fall-2003/,Quantum Computation | Mathematics | MIT OpenCourseWare,This course provides an introduction to the theory and practice of quantum computation. Topics covered include: physics of information processing; quantum logic; quantum algorithms including Shor s factoring algorithm and Grover s search algorithm; quantum error correction; quantum communication; and cryptography.,quantum computation;physics of information processing;quantum logic;quantum algorithms including Shor s factoring algorithm and Grover s search algorithm;quantum error correction;quantum communication;cryptography;18.435J;18.345;2.111J;2.111;ESD.79J;ESD.79;Computation;Theory of Computation;Quantum Mechanics;Algorithms and Data Structures;Cryptography,education;learning;free;,Quantum Computation ,MIT Open CourseWare,N/A,any time,No,Shor; Peter ,This course provides an introduction to the theory and practice of quantum computation. Topics covered include: physics of information processing; quantum logic; quantum algorithms including Shor s factoring algorithm and Grover s search algorithm; quantum error correction; quantum communication; and cryptography.,Graduate,?
http://ocw.mit.edu/courses/mathematics/18-318-topics-in-algebraic-combinatorics-spring-2006/,Topics in Algebraic Combinatorics | Mathematics | MIT OpenCourseWare,The course consists of a sampling of topics from algebraic combinatorics. The topics include the matrix-tree theorem and other applications of linear algebra; applications of commutative and exterior algebra to counting faces of simplicial complexes; and applications of algebra to tilings.,algebraic combinatorics;matrix-tree theorem;linear algebra;commutative algebra;exterior algebra;counting faces of simplicial complexes;tilings;Young s lattice;Shannon capacity;Fisher inequality;Hadamard matrices;f-vectors;Sperner Property;-Binomial Coeffcients;Algebra and Number Theory;Linear Algebra,education;learning;free;,Topics in Algebraic Combinatorics ,MIT Open CourseWare,N/A,any time,No,Stanley; Richard ,The course consists of a sampling of topics from algebraic combinatorics. The topics include the matrix-tree theorem and other applications of linear algebra; applications of commutative and exterior algebra to counting faces of simplicial complexes; and applications of algebra to tilings.,Graduate,?
http://ocw.mit.edu/courses/physics/8-901-astrophysics-i-spring-2006/,Astrophysics I | Physics | MIT OpenCourseWare,This course provides a graduate-level introduction to stellar astrophysics. It covers a variety of topics; ranging from stellar structure and evolution to galactic dynamics and dark matter.,Historical astronomy;astronomical instrumentation;Stars: spectra;classification;stellar structure equations;stellar evolution;stellar oscillations;degenerate and collapsed stars;radio pulsars;interacting binary systems;accretion disks;x-ray sources;gravitational lenses;dark matter;interstellar medium: HII regions;supernova remnants;molecular clouds;dust;radiative transfer;Jeans  mass;star formation;high-energy astrophysics;Compton scattering;bremsstrahlung;synchrotron radiation;cosmic rays;Galactic stellar distributions;Oort constants;Oort limit;globular clusters.;globular clusters;Astrophysics,education;learning;free;,Astrophysics I ,MIT Open CourseWare,N/A,any time,No,Chakrabarty; Deepto ,This course provides a graduate-level introduction to stellar astrophysics. It covers a variety of topics; ranging from stellar structure and evolution to galactic dynamics and dark matter.,Graduate,?
http://ocw.mit.edu/courses/mathematics/18-443-statistics-for-applications-spring-2009/,Statistics for Applications | Mathematics | MIT OpenCourseWare,This course is a broad treatment of statistics; concentrating on specific statistical techniques used in science and industry. Topics include: hypothesis testing and estimation; confidence intervals; chi-square tests; nonparametric statistics; analysis of variance; regression; correlation; decision theory; and Bayesian statistics. Note: Please see the syllabus for a description of the different versions of 18.443 taught at MIT.,hypothesis testing;hypothesis estimation;confidence intervals;chi-square tests;nonparametric statistics;analysis of variance;regression;correlation;decision theory;Bayesian statistics;Applied Mathematics;Probability and Statistics,education;learning;free;,Statistics for Applications ,MIT Open CourseWare,N/A,any time,No,Dudley; Richard ,This course is a broad treatment of statistics; concentrating on specific statistical techniques used in science and industry. Topics include: hypothesis testing and estimation; confidence intervals; chi-square tests; nonparametric statistics; analysis of variance; regression; correlation; decision theory; and Bayesian statistics. Note: Please see the syllabus for a description of the different versions of 18.443 taught at MIT.,Undergraduate,?
http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-990-prediction-and-predictability-in-the-atmosphere-and-oceans-spring-2003/,Prediction and Predictability in the Atmosphere and Oceans | Earth; Atmospheric; and Planetary Sciences | MIT OpenCourseWare,Forecasting is the ultimate form of model validation. But even if a perfect model is in hand; imperfect forecasts are likely. This course will cover the factors that limit our ability to produce good forecasts; will show how the quality of forecasts can be gauged a priori (predicting our ability to predict!); and will cover the state of the art in operational atmosphere and ocean forecasting systems. ,Forecasting;model validation;prediction quality;operational atmosphere and ocean forecasting systems;limiting factors;prediction;operational atmosphere forecasting systems;ocean forecasting systems;chaos;probabilistic forecasting;data assimilation;adaptive observations;model error;attractors;dimensions;sensitive dependence;initial conditions;Atmospheric Science;Oceanography;Linear Algebra;Probability and Statistics;Differential Equations,education;learning;free;,Prediction and Predictability in the Atmosphere and Oceans ,MIT Open CourseWare,N/A,any time,No,Hansen; Jim ,Forecasting is the ultimate form of model validation. But even if a perfect model is in hand; imperfect forecasts are likely. This course will cover the factors that limit our ability to produce good forecasts; will show how the quality of forecasts can be gauged a priori (predicting our ability to predict!); and will cover the state of the art in operational atmosphere and ocean forecasting systems. ,Graduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-75j-psychology-of-gender-spring-2003/,Psychology of Gender | Brain and Cognitive Sciences | MIT OpenCourseWare,We will examine current research and theory regarding the validity and utility of commonly accepted gender differences in many realms. Topics include: gender differences in cognitive abilities; the social construction of gender; developmental; family; educational and medical influences; and political and economic forces.,individual;thoughts;feelings;actions;gender;gender development;gender differences;cognition;emotion;gender stereotypes;mental health;sexuality;close relationships;work;9.75;Gender Studies;Psychology,education;learning;free;,Psychology of Gender ,MIT Open CourseWare,N/A,any time,No,Schnitzer; Phoebe Kazdin ,We will examine current research and theory regarding the validity and utility of commonly accepted gender differences in many realms. Topics include: gender differences in cognitive abilities; the social construction of gender; developmental; family; educational and medical influences; and political and economic forces.,Undergraduate,?
http://ocw.mit.edu/courses/health-sciences-and-technology/hst-722j-brain-mechanisms-for-hearing-and-speech-fall-2005/,Brain Mechanisms for Hearing and Speech | Health Sciences and Technology | MIT OpenCourseWare,An advanced course covering anatomical; physiological; behavioral; and computational studies of the central nervous system relevant to speech and hearing. Students learn primarily by discussions of scientific papers on topics of current interest. Recent topics include cell types and neural circuits in the auditory brainstem; organization and processing in the auditory cortex; auditory reflexes and descending systems; functional imaging of the human auditory system; quantitative methods for relating neural responses to behavior; speech motor control; cortical representation of language; and auditory learning in songbirds.,separation operations;recovery of products from biological processes;membrane filtration;chromatography;centrifugation;cell disruption;extraction;process design;downstream processing;biochemical product recovery;modes of recovery and purification;biochemical engineering;biochemical product recovery;hearing;speech;auditory brainstem;auditory cortex;auditory reflexes;descending systems;human auditory system;speech motor control;auditory learning;cortical representation;dorsal cochlear nucleus;neural coding;thalamo-cortical organization;thalamo-cortical processing;audio-visual integration;Neurobiology;Neuroscience;Sensory-Neural Systems;Anatomy and Physiology,education;learning;free;,Brain Mechanisms for Hearing and Speech ,MIT Open CourseWare,N/A,any time,No,Delgutte; Bertrand and Caplan; David N. and Guenther; Frank H. and Melcher; Jennifer R. and Adams; Joe C. and Perkell; Joseph S. and Hancock; Kenneth E. and Brown; M. Christian ,An advanced course covering anatomical; physiological; behavioral; and computational studies of the central nervous system relevant to speech and hearing. Students learn primarily by discussions of scientific papers on topics of current interest. Recent topics include cell types and neural circuits in the auditory brainstem; organization and processing in the auditory cortex; auditory reflexes and descending systems; functional imaging of the human auditory system; quantitative methods for relating neural responses to behavior; speech motor control; cortical representation of language; and auditory learning in songbirds.,Graduate,?
http://ocw.mit.edu/courses/physics/8-902-astrophysics-ii-fall-2004/,Astrophysics II | Physics | MIT OpenCourseWare,This is the second course in a two-semester sequence on astrophysics. Topics include galactic dynamics; groups and clusters on galaxies; phenomenological cosmology; Newtonian cosmology; Roberston-Walker models; and galaxy formation.,Galactic dynamics;potential theory;orbits;collisionless Boltzmann equations;Galaxy interactions;Groups and clusters;dark matter;Intergalactic medium;x-ray clusters;Active galactic nuclei;unified models;black hole accretion;radio and optical jets;Homogeneity and isotropy;redshift;galaxy distance ladder;Newtonian cosmology;Roberston-Walker models and cosmography;Early universe;primordial nucleosynthesis;recombination;Cosmic microwave background radiation;Large-scale structure;galaxy formation;Astrophysics,education;learning;free;,Astrophysics II ,MIT Open CourseWare,N/A,any time,No,Schechter; Paul ,This is the second course in a two-semester sequence on astrophysics. Topics include galactic dynamics; groups and clusters on galaxies; phenomenological cosmology; Newtonian cosmology; Roberston-Walker models; and galaxy formation.,Graduate,?
http://ocw.mit.edu/courses/mathematics/18-102-introduction-to-functional-analysis-spring-2009/,Introduction to Functional Analysis | Mathematics | MIT OpenCourseWare,This is a undergraduate course. It will cover normed spaces; completeness; functionals; Hahn-Banach theorem; duality; operators; Lebesgue measure; measurable functions; integrability; completeness of L-p spaces; Hilbert space; compact; Hilbert-Schmidt and trace class operators; as well as spectral theorem.,linear spaces;metric spaces;normed spaces;Banach spaces;Lebesgue integrability;Lebesgue integrable functions;Mathematical Analysis;Linear Algebra,education;learning;free;,Introduction to Functional Analysis ,MIT Open CourseWare,N/A,any time,No,Melrose; Richard ,This is a undergraduate course. It will cover normed spaces; completeness; functionals; Hahn-Banach theorem; duality; operators; Lebesgue measure; measurable functions; integrability; completeness of L-p spaces; Hilbert space; compact; Hilbert-Schmidt and trace class operators; as well as spectral theorem.,Undergraduate,?
http://ocw.mit.edu/courses/sloan-school-of-management/15-599-workshop-in-it-collaborative-innovation-networks-fall-2011/,Workshop in IT: Collaborative Innovation Networks | Sloan School of Management | MIT OpenCourseWare,Diversity begets creativity&mdash;in this seminar we tap the amazing power of swarm creativity on the Web by studying and working together as Collaborative Innovation Networks (COINs). As interdisciplinary teams of MIT management; SCAD design; University of Cologne informatics; and Aalto University software engineering students we will explore how to discover latest trends on the Web; and how to make them succeed in online social networks. We study a wide range of methods for predictive analytics (coolhunting) and online social marketing (coolfarming); mostly based on social network analysis and the emerging science of collaboration. Students will also learn to use our own unique MIT-developed Condor tool for Web mining; social network analysis; and trend prediction.,collaborative innovation networks;social networks;social marketing;Web;swarm creativity;predictive analytics;Web trends;Facebook;email;Web mining;social network analysis;trend predictions;viral marketing;global virtual collaboration;Information Technology;Innovation;Communication;Data Mining,education;learning;free;,Workshop in IT: Collaborative Innovation Networks ,MIT Open CourseWare,N/A,any time,No,Gloor; Peter ,Diversity begets creativity&mdash;in this seminar we tap the amazing power of swarm creativity on the Web by studying and working together as Collaborative Innovation Networks (COINs). As interdisciplinary teams of MIT management; SCAD design; University of Cologne informatics; and Aalto University software engineering students we will explore how to discover latest trends on the Web; and how to make them succeed in online social networks. We study a wide range of methods for predictive analytics (coolhunting) and online social marketing (coolfarming); mostly based on social network analysis and the emerging science of collaboration. Students will also learn to use our own unique MIT-developed Condor tool for Web mining; social network analysis; and trend prediction.,Graduate,?
http://ocw.mit.edu/courses/physics/8-01l-physics-i-classical-mechanics-fall-2005/,Physics I: Classical Mechanics | Physics | MIT OpenCourseWare,8.01L is an introductory mechanics course; which covers all the topics covered in 8.01T. The class meets throughout the fall; and continues throughout the Independent Activities Period (IAP).,Introductory classical mechanics;space;time;straight-line kinematics;motion in a plane;forces;static equilibrium;particle dynamics;conservation of momentum;relative inertial frames;non-inertial force;work;potential energy;conservation of energy;ideal gas;rigid bodies;rotational dynamics;vibrational motion;conservation of angular momentum;central force motions;fluid mechanics;Technology-Enabled Active Learning;Classical Mechanics,education;learning;free;,Physics I: Classical Mechanics ,MIT Open CourseWare,N/A,any time,No,Stephans; George ,8.01L is an introductory mechanics course; which covers all the topics covered in 8.01T. The class meets throughout the fall; and continues throughout the Independent Activities Period (IAP).,Undergraduate,?
http://ocw.mit.edu/courses/chemistry/5-62-physical-chemistry-ii-spring-2008/,Physical Chemistry II | Chemistry | MIT OpenCourseWare,This course covers elementary statistical mechanics; transport properties; kinetic theory; solid state; reaction rate theory; and chemical reaction dynamics. Acknowledgements The staff for this course would like to acknowledge that these course materials include contributions from past instructors; textbooks; and other members of the MIT Chemistry Department affiliated with course #5.62. Since the following works have evolved over a period of many years; no single source can be attributed.,physical chemistry;partition functions;atomic degrees of freedom;molecular degrees of freedom;chemical equilibrium;thermodynamics;intermolecular potentials;equations of state;solid state chemistry;einstein and debye solids;kinetic theory;rate theory;chemical kinetics;transition state theory;RRKM theory;collision theory;equipartition;fermi-dirac statistics;boltzmann statistics;bose-einstein statistics;statistical mechanics;Physical Chemistry;Transport Processes;Classical Mechanics,education;learning;free;,Physical Chemistry II ,MIT Open CourseWare,N/A,any time,No,Field; Robert and Griffin; Robert Guy ,This course covers elementary statistical mechanics; transport properties; kinetic theory; solid state; reaction rate theory; and chemical reaction dynamics. Acknowledgements The staff for this course would like to acknowledge that these course materials include contributions from past instructors; textbooks; and other members of the MIT Chemistry Department affiliated with course #5.62. Since the following works have evolved over a period of many years; no single source can be attributed.,Undergraduate,?
http://ocw.mit.edu/courses/sloan-school-of-management/15-990-architecture-and-communication-in-organizations-fall-2003/,Architecture and Communication in Organizations | Sloan School of Management | MIT OpenCourseWare,While no businesses succeed based on their architecture or space design; many fail as a result of inattention to the power of spatial relationships. This course demonstrates through live case studies with managers and architects the value of strategic space planning and decision making in relation to business needs. The course presents conceptual frameworks for thinking about architecture; communication and organizations. This course is offered during the Sloan Innovation Period (SIP); which is a one-week period at the MIT Sloan School of Management that occurs midway through each semester.,using space;space design for business;space planning;office buildings;architectural design;business communication;distributed work;workplace design;work stations;communication;team work;architecture of knowledge;offices;cubicles;space design;office space;spatial relationships;live case studies;architects;managers;strategic space planning;organizations;knowledge architecture;architecture;business administration;management;Environmental Design;Organizational Behavior;Management;Communication,education;learning;free;,Architecture and Communication in Organizations ,MIT Open CourseWare,N/A,any time,No,Burton; Diane and Duffy; Frank and Allen; Tom ,While no businesses succeed based on their architecture or space design; many fail as a result of inattention to the power of spatial relationships. This course demonstrates through live case studies with managers and architects the value of strategic space planning and decision making in relation to business needs. The course presents conceptual frameworks for thinking about architecture; communication and organizations. This course is offered during the Sloan Innovation Period (SIP); which is a one-week period at the MIT Sloan School of Management that occurs midway through each semester.,Graduate,?
http://ocw.mit.edu/courses/anthropology/index.htm,Anthropology | MIT OpenCourseWare | Free Online Course Materials,MIT Anthropology courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Anthropology courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/sloan-school-of-management/15-301-managerial-psychology-fall-2006/,Managerial Psychology | Sloan School of Management | MIT OpenCourseWare,This course introduces you to behavioral science theories; methods; and tools and provides opportunities to use and apply them to problems you will encounter in your work and career. The course material will begin with an overview of work and organizations in modern industrial society; and then examine individual behavior; move to behavior in groups or teams; and finally discuss organizations as a whole. It is expected that at the end of the course you will: (a) know something about managerial psychology; (b) know how to learn more; (c) understand the behavioral research process; and (d) develop skills in presenting your ideas in oral and written reports.,organizations;management;behavioral science;behavioral approach;human behavior;communications;teamwork;negotiations;conflict resolution;leadership;organizational analysis;managerial psychology;behavioral research;sociology;institutional context;groups;teams;individuals;statistics;research methods;Management;Organizational Behavior;Psychology,education;learning;free;,Managerial Psychology ,MIT Open CourseWare,N/A,any time,No,Carroll; John and Tao; Li ,This course introduces you to behavioral science theories; methods; and tools and provides opportunities to use and apply them to problems you will encounter in your work and career. The course material will begin with an overview of work and organizations in modern industrial society; and then examine individual behavior; move to behavior in groups or teams; and finally discuss organizations as a whole. It is expected that at the end of the course you will: (a) know something about managerial psychology; (b) know how to learn more; (c) understand the behavioral research process; and (d) develop skills in presenting your ideas in oral and written reports.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/sloan-school-of-management/15-269b-literature-ethics-and-authority-fall-2002/,Literature; Ethics and Authority | Sloan School of Management | MIT OpenCourseWare,Our subject is the ethics of leadership; an examination of the principles appealed to by executive authority when questions arise about its sources and its legitimacy. Most treatments of this subject resort to case-studies in order to illustrate the application of ethical principles to business situations; but our primary emphasis will be upon classic works of imaginative literature; which convey more directly than case-studies the ethical pressures of decision-making. Readings will include works by Shakespeare; Sophocles; Shaw; E.M. Forster; Joseph Conrad; George Orwell; Fyodor Dostoyevsky; and Henrik Ibsen; among others. Topics to be discussed include the sources of authority; the management of consensus; the ideal of vocation; the ethics of deception; the morality of expediency; the requirements of hierarchy; the virtues and vices of loyalty; the relevance of ethical principles in extreme situations.,authority;decision making;management;leadership;literature;business;ethics;Leadership;Ethics;Literature;Social Anthropology,education;learning;free;,Literature; Ethics and Authority ,MIT Open CourseWare,N/A,any time,No,Kibel; Alvin ,Our subject is the ethics of leadership; an examination of the principles appealed to by executive authority when questions arise about its sources and its legitimacy. Most treatments of this subject resort to case-studies in order to illustrate the application of ethical principles to business situations; but our primary emphasis will be upon classic works of imaginative literature; which convey more directly than case-studies the ethical pressures of decision-making. Readings will include works by Shakespeare; Sophocles; Shaw; E.M. Forster; Joseph Conrad; George Orwell; Fyodor Dostoyevsky; and Henrik Ibsen; among others. Topics to be discussed include the sources of authority; the management of consensus; the ideal of vocation; the ethics of deception; the morality of expediency; the requirements of hierarchy; the virtues and vices of loyalty; the relevance of ethical principles in extreme situations.,Graduate,?
http://ocw.mit.edu/courses/nuclear-engineering/22-611j-introduction-to-plasma-physics-i-fall-2006/,Introduction to Plasma Physics I | Nuclear Science and Engineering | MIT OpenCourseWare,The plasma state dominates the visible universe; and is important in fields as diverse as Astrophysics and Controlled Fusion. Plasma is often referred to as  the fourth state of matter.  This course introduces the study of the nature and behavior of plasma. A variety of models to describe plasma behavior are presented.,plasma phenomena;energy generation;controlled thermonuclear fusion;astrophysics;Coulomb collisions;transport processes;charged particles;magnetic fields;plasma confinement schemes;MHD models;simple equilibrium;stability analysis;Two-fluid hydrodynamic plasma models;wave propagation;kinetic theory;Vlasov plasma model;electron plasma waves;Landau damping;ion-acoustic waves;streaming instabilities;High Energy Physics;Nuclear Physics;Astrophysics;Physical Chemistry,education;learning;free;,Introduction to Plasma Physics I ,MIT Open CourseWare,N/A,any time,No,Parker; Ron ,The plasma state dominates the visible universe; and is important in fields as diverse as Astrophysics and Controlled Fusion. Plasma is often referred to as  the fourth state of matter.  This course introduces the study of the nature and behavior of plasma. A variety of models to describe plasma behavior are presented.,Graduate,?
http://ocw.mit.edu/courses/mathematics/18-701-algebra-i-fall-2010/,Algebra I | Mathematics | MIT OpenCourseWare,This undergraduate level Algebra I course covers groups; vector spaces; linear transformations; symmetry groups; bilinear forms; and linear groups.,Group Theory;Linear Algebra;Geometry;groups;vector spaces;linear transformations;symmetry groups;bilinear forms;linear groups;Algebra and Number Theory,education;learning;free;,Algebra I ,MIT Open CourseWare,N/A,any time,No,Artin; Michael ,This undergraduate level Algebra I course covers groups; vector spaces; linear transformations; symmetry groups; bilinear forms; and linear groups.,Undergraduate,?
http://ocw.mit.edu/courses/physics/8-022-physics-ii-electricity-and-magnetism-fall-2002/,Physics II: Electricity and Magnetism | Physics | MIT OpenCourseWare,Parallel to 8.02: Physics II; but more advanced mathematically. Some knowledge of vector calculus assumed. Maxwell s equations; in both differential and integral form. Electrostatic and magnetic vector potential. Properties of dielectrics and magnetic materials. In addition to the theoretical subject matter; several experiments in electricity and magnetism are performed by the students in the laboratory.,Electricity;Magnetism;Electromagnetism,education;learning;free;,Physics II: Electricity and Magnetism ,MIT Open CourseWare,N/A,any time,No,Katsavounidis; Erik and Fisher; Peter ,Parallel to 8.02: Physics II; but more advanced mathematically. Some knowledge of vector calculus assumed. Maxwell s equations; in both differential and integral form. Electrostatic and magnetic vector potential. Properties of dielectrics and magnetic materials. In addition to the theoretical subject matter; several experiments in electricity and magnetism are performed by the students in the laboratory.,Undergraduate,?
http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-425-extrasolar-planets-physics-and-detection-techniques-fall-2007/,Extrasolar Planets: Physics and Detection Techniques | Earth; Atmospheric; and Planetary Sciences | MIT OpenCourseWare,This course covers the basic principles of planet atmospheres and interiors applied to the study of extrasolar planets (exoplanets). We focus on fundamental physical processes related to observable exoplanet properties. We also provide a quantitative overview of detection techniques and an introduction to the feasibility of the search for Earth-like planets; biosignatures and habitable conditions on exoplanets.,extrasolar planets;planet atmospheres;planet interiors;transiting planets;planet albedos;astrometry;gravitational lensing;habitable planets;Planetary Science;Geophysics;Astrophysics;Atmospheric Science,education;learning;free;,Extrasolar Planets: Physics and Detection Techniques ,MIT Open CourseWare,N/A,any time,No,Seager; Sara ,This course covers the basic principles of planet atmospheres and interiors applied to the study of extrasolar planets (exoplanets). We focus on fundamental physical processes related to observable exoplanet properties. We also provide a quantitative overview of detection techniques and an introduction to the feasibility of the search for Earth-like planets; biosignatures and habitable conditions on exoplanets.,Undergraduate,?
http://ocw.mit.edu/courses/mathematics/18-02sc-multivariable-calculus-fall-2010/,Multivariable Calculus | Mathematics | MIT OpenCourseWare,This course covers differential; integral and vector calculus for functions of more than one variable. These mathematical tools and methods are used extensively in the physical sciences; engineering; economics and computer graphics.,calculus;calculus of several variables;vector algebra;determinants;matrix;matrices;vector-valued function;space motion;scalar function;partial differentiation;gradient;optimization techniques;double integrals;line integrals;exact differential;conservative fields;Green s theorem;triple integrals;surface integrals;divergence theorem Stokes  theorem;applications;Calculus;Linear Algebra;Differential Equations,education;learning;free;,Multivariable Calculus ,MIT Open CourseWare,N/A,any time,No,Auroux; Denis ,This course covers differential; integral and vector calculus for functions of more than one variable. These mathematical tools and methods are used extensively in the physical sciences; engineering; economics and computer graphics.,Undergraduate,?
http://ocw.mit.edu/courses/mathematics/18-02-multivariable-calculus-spring-2006/,Multivariable Calculus | Mathematics | MIT OpenCourseWare,This course covers vector and multi-variable calculus. It is the second semester in the freshman calculus sequence. Topics include Vectors and Matrices; Partial Derivatives; Double and Triple Integrals; and Vector Calculus in 2 and 3-space.,Calculus;calculus of several variables;vector algebra;determinants;matrix;matrices;vector-valued function;space motion;scalar function;partial differentiation;gradient;optimization techniques;double integrals;line integrals;exact differential;conservative fields;Green s theorem;triple integrals;surface integrals;divergence theorem Stokes  theorem;applications;Linear Algebra;Differential Equations,education;learning;free;,Multivariable Calculus ,MIT Open CourseWare,N/A,any time,No,Jerison; David and Mattuck; Arthur ,This course covers vector and multi-variable calculus. It is the second semester in the freshman calculus sequence. Topics include Vectors and Matrices; Partial Derivatives; Double and Triple Integrals; and Vector Calculus in 2 and 3-space.,Undergraduate,?
http://ocw.mit.edu/courses/chemistry/5-451-chemistry-of-biomolecules-i-fall-2005/,Chemistry of Biomolecules I | Chemistry | MIT OpenCourseWare,5.451 is a half-semester introduction to natural product biosynthetic pathways. The course covers the assembly of complex polyketide; peptide; terpene and alkaloid structures. Discussion topics include chemical and biochemical strategies used to elucidate natural product pathways.,;Organic Chemistry;Biochemistry;Molecular Biology,education;learning;free;,Chemistry of Biomolecules I ,MIT Open CourseWare,N/A,any time,No,O’Connor; Sarah ,5.451 is a half-semester introduction to natural product biosynthetic pathways. The course covers the assembly of complex polyketide; peptide; terpene and alkaloid structures. Discussion topics include chemical and biochemical strategies used to elucidate natural product pathways.,Graduate,?
